Label,#Sample_sentences,TP,FP,FN,TN,Precision,FPR
CIR_AMMU_AMOUNT_WEP,430,85,18,3,324,0.825,0.009
CIR_HELD_WAY_WEP,181,55,5,0,121,0.917,0
CIR_OBTAIN_WAY_WEP,153,21,30,0,100,0.412,0
CIR_PLANNING,152,46,7,0,99,0.868,0
CIR_PURPOSE,151,37,14,0,100,0.725,0
CIR_STATUS_WEP,138,34,2,1,101,0.944,0.01
CIR_TYPE_WEP,208,105,3,0,100,0.972,0
CIR_USE,200,82,19,0,99,0.812,0
CONFESSION,212,97,3,0,112,0.97,0
GENERAL_CIRCUM,206,71,31,2,101,0.696,0.019
PUNISHMENT,202,91,10,0,101,0.901,0
REGRET,154,53,0,0,101,1,0
RESPO,149,37,16,0,96,0.698,0
